Route Key,Edges Keys
0,[]
1,"[0, 2, 6, 5, 7]"
2,"[1, 3, 4]"
3,"[8, 22, 21, 18]"
4,[16]
5,"[12, 11, 13, 14, 15]"
6,[17]
7,[109]
8,"[107, 108, 129, 134, 135, 133, 132, 130, 131, 136, 139, 137, 138, 152]"
9,"[151, 142, 140, 141, 150, 149, 145, 143, 144, 146, 147, 148, 155, 156, 157, 158, 159]"
10,"[160, 162, 117]"
11,"[116, 115, 113, 114]"
12,"[120, 123]"
13,"[124, 125, 128]"
14,"[126, 307, 306, 308, 309, 310, 311]"
15,[312]
16,[313]
17,"[127, 315, 314, 320, 319, 318, 316, 317, 321, 335, 333]"
18,"[331, 330, 327, 326, 325]"
19,"[322, 323, 336, 337, 338, 339, 341, 340, 90]"
20,"[89, 87, 88]"
21,"[92, 105]"
22,"[104, 101]"
23,"[100, 99, 98, 97, 95, 96, 211, 212]"
24,[213]
25,"[216, 267, 266, 265]"
26,[262]
27,"[263, 210]"
28,"[208, 207, 206, 205, 203, 204]"
29,"[209, 445, 444, 261]"
30,[195]
31,"[192, 191, 185, 183, 184, 190, 221, 189]"
32,"[187, 186]"
33,"[188, 220, 218, 219]"
34,"[193, 196, 81]"
35,"[80, 75, 68, 66, 67, 69]"
36,"[72, 71, 70]"
37,[73]
38,"[79, 76]"
39,[77]
40,[252]
41,"[244, 243]"
42,[245]
43,"[248, 251]"
44,"[255, 391, 390, 389, 386]"
45,"[385, 384, 383, 382, 478, 477, 479, 462, 296]"
46,"[293, 225]"
47,"[222, 223]"
48,"[224, 292, 297, 298, 461, 459, 458, 460, 471, 470, 469, 468, 467, 466, 465, 464, 463, 424]"
49,"[421, 417, 414, 413, 415, 416]"
50,[422]
51,"[420, 419, 418, 410, 409, 411, 412]"
52,"[423, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 241]"
53,[237]
54,"[238, 361, 362, 363, 364, 365, 366, 367, 182]"
55,"[178, 179]"
56,"[200, 168]"
57,"[165, 166, 197]"
58,[198]
59,[172]
60,"[169, 278]"
61,"[276, 353]"
62,"[350, 85]"
63,"[83, 86, 397, 396, 395, 394, 393, 392]"
64,"[281, 441, 442, 443, 163]"
65,"[202, 349, 348, 347, 346, 345, 344, 343, 342, 305, 303]"
66,"[302, 440, 360, 359, 358, 357, 356, 354, 355, 371, 370, 32]"
67,"[29, 28, 27, 25]"
68,"[23, 24, 53, 54, 55, 56, 57, 63, 61, 62, 64, 60, 58, 59]"
69,[52]
70,[50]
71,"[51, 49, 41, 40, 42, 43, 44, 46, 45]"
72,"[47, 401, 399, 400]"
73,"[48, 406, 407, 408]"
74,[65]
75,"[279, 405, 404, 403, 402, 275]"
76,"[271, 272, 270, 269, 268, 38]"
77,"[36, 34, 35, 39]"
78,"[273, 398]"
79,"[30, 33]"
80,"[31, 368, 369]"
81,"[242, 476, 475, 474, 473, 472]"
82,"[388, 480, 481, 482, 491]"
83,"[78, 287, 288, 285]"
84,[286]
85,"[74, 446, 447, 448, 449, 450, 451, 453, 452, 454, 455, 456, 457]"
86,[217]
87,"[215, 283]"
88,[282]
89,"[284, 177, 176, 175, 173, 174]"
90,[94]
91,"[324, 328, 329, 334, 490, 489, 488, 487, 484, 483, 485, 486, 494, 493, 492]"
92,[119]
93,[161]
94,"[153, 381]"
95,"[110, 236, 235, 234, 233, 232, 231, 230, 229, 228, 226, 227]"
96,"[19, 301, 300, 299, 291, 290, 289]"
97,"[9, 376, 375, 373, 372, 374]"
98,"[10, 377, 380, 378, 379]"
