staff,total_workdays
統括A,8
統括B,1
統括C,3
統括D,1
統括E,5
統括F,13
副統括A,6
副統括B,9
副統括C,0
副統括D,14
副統括E,2
副統括F,0
火葬員A,29
火葬員B,29
火葬員C,29
火葬員D,29
火葬員E,29
火葬員F,29
清掃員A,10
清掃員B,3
清掃員C,20
清掃員D,10
清掃員E,3
清掃員F,16
売店従業員A,8
売店従業員B,5
売店従業員C,23
売店従業員D,13
売店従業員E,13
霊柩運送員A,10
霊柩運送員B,10
霊柩運送員C,20
霊柩運送員D,20
霊柩運送員E,2
パート長A,23
パート長B,1
パート長C,0
パート長D,0
パート長E,0
パート長F,2
パート短A,3
パート短B,2
パート短C,2
パート短D,2
パート短E,2
パート短F,0
N1,1
N2,0
N3,0
N4,0
N5,0
N6,0
N7,0
N8,0
N9,0
N10,4
N11,2
N12,11
N13,8
N14,1
N15,1
N16,1
N17,1
N18,1
N19,0
N20,0
