,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
統括A,責,,,,,,,,責,,責,,,責,責,,,責,,,,,,,,,,,,責,
副統括A,,,責,責,,,責,責,,,,,責,,,,,,,責,責,,,,,,,,,,
火葬員A,,,,,,,人,人,,人,,,,,,,,,,,,,,,人,人,,人,,人,
火葬員B,,,,人,,,,,,,,,人,,人,,,,人,,,,人,,,人,,,,人,
火葬員C,,,,,,,人,,,人,人,,,,,,,,人,,,,人,,人,人,,,,,
火葬員D,人,,人,人,人,,人,,,,,,人,,人,,,,,,,,,,,,,,,,
火葬員E,,,人,人,,,,,,,,,,人,,人,人,人,,,,,人,,,,,,,,
火葬員F,,,,,,,,,,人,人,人,,人,人,,,,人,,,,人,,,,,,,,
清掃員A,,,,,,,,,,,,,清,清,清,,清,,清,清,,,,清,,,,,,,
清掃員B,,,,,,,,,,,,,,,,,清,清,,,,清,清,,清,清,清,,,,
清掃員C,,,,,,,,,,,,清,,,,清,,,,清,,,清,,,,清,,,清,清
清掃員D,,,,,,,清,,,,,,,,,,,清,,,,清,,清,,,,,清,清,清
売店従業員A,,,,,売,,,,,,,,,,売,,売,,,,,売,,,,売,,,売,売,
売店従業員B,,売,,,,売,,,,売,,,,,,,売,,,,,,,,,売,売,,,,売
売店従業員C,,,,,売,,,,,,,,,,売,,,,,,,売,,,,,売,,売,売,売
霊柩運送員A,,,,,,,,,,,,,運,運,運,,運,運,,,,,,,,,運,運,,,
霊柩運送員B,,,,,,,,,,運,,,,運,運,運,運,,,運,,,,,,,運,,,,
霊柩運送員C,,,,,運,,,,,,運,,運,,,運,,運,,運,,,,,,,,運,,,
剣士A,,,,,,,,火,,,,,,,火,,,,,,,火,,火,,,火,,火,,
剣士B,火,,火,,,,火,,,,,,,,,,,火,,,,,,,火,,,火,,,
剣士C,,,,,,,,,,,,,,,,火,,,火,,火,,火,,,火,,,,火,
剣士D,,火,,火,,,,,,,,,火,,,,火,,,火,,,,,,,,,,,火
海賊王A,,,,,火,火,,,火,火,火,火,,火,,,,,,,,,,,,,,,,,
パート長A,人,,人,,動,動,,動,人,人,,動,人,人,,動,人,,,人,人,人,,人,動,,人,人,人,,人
パート長B,動,動,人,,人,人,,人,人,,人,人,,人,,人,人,人,,動,人,人,,人,,,人,人,人,,人
パート長C,人,人,,人,人,,人,,動,,,人,人,,人,人,,人,人,人,,人,人,人,,人,人,動,,人,人
パート長D,,人,,動,人,人,,人,人,人,,人,,,人,人,人,,動,人,人,,動,人,,動,人,,人,動,人
パート短A,人,人,人,,,人,,人,人,,人,人,,人,人,人,,人,,人,人,人,,人,,人,,人,人,人,
パート短B,人,人,動,,人,人,人,,人,人,人,,人,,,,人,人,人,,人,人,人,,人,人,人,,動,人,人
パート短C,,人,,人,人,人,,人,人,,人,,動,人,,人,人,動,,人,人,人,,人,人,,人,人,人,,人
パート短D,,人,人,人,,人,動,人,,動,動,人,,動,動,,動,人,,人,動,動,,動,人,,動,人,人,,動
N1,清,責,事,清,責,運,,運,清,清,運,売,売,売,,責,,売,,,清,責,運,責,,,,清,,,
N2,売,,清,事,清,運,,,,運,清,売,,,,売,,事,売,,売,,責,売,,,,清,,,
N3,清,清,運,,清,,売,,運,清,,運,事,売,,売,,売,,,売,,運,運,,,,事,,運,事
N4,,,清,清,,清,,売,,,事,,売,事,,,,,事,,清,,,事,売,清,事,,,,
N5,売,,運,,,清,清,,事,,売,清,,,,,,,責,,運,,売,,売,,,,,,
N6,,清,売,,,,,清,運,,売,,,,,,,,,,運,事,売,,,,,,,運,
N7,,,,売,,,,,売,,,運,,,,,,,,事,,,,,,,囲,囲,囲,囲,囲
N8,囲,囲,囲,囲,囲,囲,,,,売,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,囲,,,,,
N9,事,事,,,,,,清,,事,,,,,,,,,,,,,,,,,,,,,
N10,,,,,,,運,運,,囲,,,,,,,責,,,,,,,,,,,売,,事,運
N11,運,運,,運,,,事,,売,,,,,,,事,,,,,,,,,運,,,,,,
N12,運,売,,,,,,,清,,清,,,,,,,,運,,,,,売,,,,,,,運
N13,,,,,運,,,事,囲,,,,清,清,事,,,,運,,,,,,清,運,,,,,
N14,,,,,,,,売,,,,,,,,,,,,売,,運,,,事,運,,,運,,
N15,,運,,,事,,,,,,,責,,,,清,,,,,,,,,,,責,,事,,
N16,,,,,,事,運,囲,,,,,,,,,,,清,,,,,,,,,,,,
N17,,,,,,,,,,,,,,,,,事,,,,,,,,運,,,責,,,
N18,,,売,運,,責,売,,,,,,,,清,,,,,,,,事,,,責,,売,責,,責
N19,,,,売,,売,,,,責,,,,,,,,,,,,運,,,責,,,,運,,
N20,,,,,,,囲,,,,,事,,,,,,,売,売,事,,,運,,事,,,清,,
