,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
統括A,,,,,,責,責,,責,責,責,,責,,,,,,,,,,,,,,,,
副統括A,,責,,,,,,,,,,事,,責,,,,,責,事,,,,,,,事,,
火葬員A,人,,,,人,,,,,,,人,,人,,,,,,,人,,,,,,,人,
火葬員B,,人,,,,人,,,,人,人,,,,動,,,,,,,,,,,,人,,
火葬員C,,,人,,人,,人,,,,,,,,,,,,人,人,,,人,,,,,,
火葬員D,,,,人,人,,,,人,,,人,,,,人,,人,,,,,,,,,,,
火葬員E,,,,,人,,,,,,,,,,,人,,,,,人,,人,,,人,人,,
火葬員F,,,人,,,人,,,,,,,,,,,,人,,,,,動,,,人,,,人
清掃員A,,,,,,清,,清,,,,,,,,,,,,清,清,清,,清,,,,,
清掃員B,,,,,,,,,,,清,,,,,,清,清,,,,,清,,,,清,清,
清掃員C,,,,,,,,清,,清,,,,,,,,,清,,清,清,,,,,,,清
清掃員D,清,,,,,,,,,清,,,清,,清,清,,,,,,,,,,,,,清
売店従業員A,,,,,,,売,売,売,,売,売,,,,,,,,,,,,売,,,,,
売店従業員B,,,,,,売,,売,売,,,,,,売,売,,,,,,,,売,,,,,
売店従業員C,,,,,,,,,,,売,売,,,,,売,売,,,,,売,,,,売,,
霊柩運送員A,,,,,,運,運,,,,運,,,,,,,,,運,,,,運,運,,,,
霊柩運送員B,,,,,,,,,,,,運,,,,,運,運,,,,,運,,,,運,運,
霊柩運送員C,,,,,,,,,,,,運,,,,,運,運,,,,,運,,,,,運,運
剣士A,,,,,,,,,,,火,,火,,,,火,,,火,,,火,,火,,,,
剣士B,,,,,火,,,,火,,,火,,,,火,,火,,,,,,,,,,,
剣士C,,,,,,,火,,,火,,,,火,火,,,,,,,,,火,,火,,,
剣士D,,火,,,,,,火,,,,,,,,,,,,,火,,,,,,火,火,火
海賊王A,火,,火,火,,火,,,,,,,,,,,,,火,,,火,,,,,,,
パート長A,動,動,人,,動,人,,人,人,人,,動,人,人,,人,人,人,,人,人,人,,人,人,人,,,人
パート長B,人,人,,人,,動,人,人,,人,人,,動,人,人,,人,動,人,,動,動,,人,人,人,,人,
パート長C,,人,人,人,,,,人,人,人,,人,人,人,,人,人,人,,人,人,人,,人,人,,人,人,人
パート長D,人,人,,人,,人,動,人,,動,人,,人,動,,動,人,,人,人,,人,人,動,,動,人,人,
パート短A,人,,,人,,人,人,人,,人,人,人,,人,人,,,人,動,人,,人,人,人,,人,,動,人
パート短B,人,,,動,人,,人,動,動,,動,人,人,,人,人,動,,人,人,,人,,人,動,,動,人,人
パート短C,,人,動,人,,,人,人,人,,人,人,人,,人,人,人,,人,動,人,,人,人,人,,人,人,人
パート短D,人,人,人,,人,人,人,,人,人,人,,人,人,人,,人,人,人,,,人,人,,人,人,人,,動
N1,,,清,囲,囲,,,,,,,,,,,,,,清,,運,,,,,売,売,,
N2,責,,,,,,,,,事,,,,囲,事,,,囲,,,,,事,,,運,,囲,囲
N3,,運,,,清,,運,,,運,,,運,運,清,,,,,運,事,,売,,,事,清,,
N4,,,清,運,,囲,,,,,,,,,,囲,,責,,,囲,売,,囲,囲,,,清,
N5,,,囲,清,運,,,運,運,運,,清,,清,売,清,売,,売,,,,,,責,,,,
N6,囲,清,売,,,,,事,,,,,売,,,責,囲,事,売,売,,,,,事,運,,,売
N7,,,責,,,,売,,,売,囲,,,売,,運,,,,清,運,,囲,責,,責,囲,,
N8,,,,,運,運,,,,,,,,,,,,,囲,,責,,,,運,,,,責
N9,,,売,,事,清,,,,,,,事,,,運,事,,,,,運,清,清,,,,,
N10,,運,事,売,,,事,,事,,,,,,,,,清,,囲,,,,事,,清,,,
N11,運,,運,売,,,清,,運,売,,囲,,,囲,,責,,,,売,責,,,,,,事,
N12,運,売,,責,,,,,,,,,清,売,,,,,,,,,,,,売,運,売,売
N13,,事,,清,責,事,,,囲,,,,,事,運,売,,,,,,,,,,,,,
N14,事,売,,,売,,,,,,,責,,,運,,,,,売,,運,,,売,,,,
N15,,,運,,清,,,,,,,,囲,,,,清,,,,,売,,,清,,,,
N16,清,,,,,,,,,,,,,運,責,,,,運,責,,,,,清,,,,
N17,,,,運,,売,,運,清,,運,,売,,,,,売,,,,囲,,運,,清,,責,
N18,,清,,,売,,,,清,囲,,清,,,,,,,事,,売,,責,,売,,責,,
N19,売,,,事,,,囲,責,,,事,,,,,事,,,運,,,,,,,囲,,,事
N20,売,囲,,,,,清,囲,,,清,,運,清,,,,,,,,事,,,,,,売,運
