day,work,type,min_req,assigned,max_req
1,囲炉裏,under,1.0,0,
1,人火葬,over,,6,5.0
1,動物火葬,over,,4,2.0
1,運送,over,,3,2.0
1,売店,over,,3,2.0
1,火影,over,,4,1.0
2,責任者,over,,2,1.0
2,事務,under,1.0,0,
2,囲炉裏,under,1.0,0,
2,人火葬,over,,9,7.0
2,売店,under,2.0,1,
2,火影,over,,3,1.0
3,囲炉裏,under,1.0,0,
3,動物火葬,over,,3,2.0
3,清掃,over,,3,2.0
3,売店,over,,3,2.0
3,火影,over,,2,1.0
4,囲炉裏,under,1.0,0,
4,人火葬,over,,8,7.0
4,動物火葬,over,,3,2.0
4,売店,over,,3,2.0
4,火影,over,,2,1.0
5,囲炉裏,under,1.0,0,
5,人火葬,under,6.0,5,
5,運送,over,,3,2.0
5,清掃,over,,3,2.0
5,売店,over,,3,2.0
5,火影,over,,2,1.0
6,囲炉裏,under,1.0,0,
6,動物火葬,over,,4,2.0
6,清掃,over,,3,2.0
6,売店,over,,3,2.0
6,火影,over,,3,1.0
7,囲炉裏,under,1.0,0,
7,人火葬,under,6.0,3,
7,動物火葬,over,,4,2.0
7,売店,over,,3,2.0
7,火影,over,,4,1.0
8,囲炉裏,under,1.0,0,
8,人火葬,under,6.0,2,
8,動物火葬,over,,7,2.0
8,運送,over,,3,2.0
8,清掃,over,,4,2.0
8,売店,over,,3,2.0
8,火影,over,,2,1.0
9,事務,under,1.0,0,
9,囲炉裏,under,1.0,0,
9,人火葬,over,,8,7.0
9,清掃,over,,3,2.0
9,火影,over,,3,1.0
10,責任者,over,,2,1.0
10,事務,under,1.0,0,
10,囲炉裏,under,1.0,0,
10,動物火葬,over,,4,2.0
10,運送,over,,3,2.0
10,清掃,over,,3,2.0
10,火影,over,,4,1.0
11,囲炉裏,under,1.0,0,
11,人火葬,under,6.0,5,
11,動物火葬,over,,5,2.0
11,運送,over,,3,2.0
11,清掃,over,,3,2.0
11,売店,over,,3,2.0
11,火影,over,,3,1.0
12,責任者,over,,2,1.0
12,事務,under,1.0,0,
12,囲炉裏,under,1.0,0,
12,動物火葬,over,,4,2.0
12,清掃,over,,4,2.0
12,売店,over,,3,2.0
13,責任者,under,1.0,0,
13,囲炉裏,under,1.0,0,
13,人火葬,over,,8,7.0
13,動物火葬,over,,4,2.0
13,運送,over,,3,2.0
13,清掃,under,2.0,1,
13,売店,over,,3,2.0
13,火影,over,,2,1.0
14,囲炉裏,under,1.0,0,
14,人火葬,over,,8,7.0
14,動物火葬,over,,4,2.0
14,売店,over,,3,2.0
14,火影,over,,2,1.0
15,囲炉裏,under,1.0,0,
15,動物火葬,over,,5,2.0
15,清掃,over,,3,2.0
15,火影,over,,3,1.0
16,囲炉裏,under,1.0,0,
16,人火葬,under,6.0,3,
16,動物火葬,over,,5,2.0
16,運送,over,,3,2.0
16,清掃,under,2.0,1,
16,火影,over,,4,1.0
17,囲炉裏,under,1.0,0,
17,運送,over,,3,2.0
17,売店,over,,3,2.0
17,火影,over,,3,1.0
18,事務,under,1.0,0,
18,囲炉裏,under,1.0,0,
18,人火葬,over,,9,5.0
18,動物火葬,over,,3,2.0
18,清掃,over,,4,2.0
18,売店,over,,3,2.0
18,火影,over,,3,1.0
19,囲炉裏,under,1.0,0,
19,人火葬,under,6.0,3,
19,動物火葬,over,,6,2.0
19,運送,over,,3,2.0
19,清掃,over,,3,2.0
19,売店,over,,3,2.0
19,火影,over,,2,1.0
20,囲炉裏,under,1.0,0,
20,人火葬,under,6.0,5,
20,動物火葬,over,,4,2.0
20,運送,over,,3,2.0
20,清掃,over,,4,2.0
20,売店,over,,3,2.0
20,火影,over,,3,1.0
21,囲炉裏,under,1.0,0,
21,人火葬,over,,9,7.0
21,火影,over,,3,1.0
22,囲炉裏,under,1.0,0,
22,動物火葬,over,,5,2.0
22,運送,over,,3,2.0
22,火影,over,,3,1.0
23,責任者,over,,2,1.0
23,事務,under,1.0,0,
23,囲炉裏,under,1.0,0,
23,人火葬,over,,8,7.0
23,運送,over,,3,2.0
23,清掃,over,,4,2.0
24,囲炉裏,under,1.0,0,
24,動物火葬,over,,4,2.0
24,清掃,over,,3,2.0
24,売店,over,,3,2.0
24,火影,over,,4,1.0
25,責任者,over,,2,1.0
25,事務,under,1.0,0,
25,囲炉裏,under,1.0,0,
25,動物火葬,over,,3,2.0
25,清掃,over,,3,2.0
25,売店,under,2.0,1,
25,火影,over,,2,1.0
26,責任者,over,,2,1.0
26,事務,under,1.0,0,
26,囲炉裏,under,1.0,0,
26,人火葬,over,,10,7.0
26,清掃,over,,4,2.0
26,売店,over,,3,2.0
26,火影,over,,3,1.0
27,囲炉裏,under,1.0,0,
27,人火葬,over,,8,7.0
27,動物火葬,over,,3,2.0
27,運送,over,,3,2.0
27,清掃,over,,3,2.0
27,火影,over,,3,1.0
28,責任者,over,,2,1.0
28,事務,under,1.0,0,
28,囲炉裏,under,1.0,0,
28,人火葬,over,,9,7.0
28,清掃,over,,3,2.0
28,売店,under,2.0,1,
29,囲炉裏,under,1.0,0,
29,人火葬,under,6.0,5,
29,動物火葬,over,,5,2.0
29,運送,over,,3,2.0
29,清掃,under,2.0,1,
29,火影,over,,3,1.0
30,囲炉裏,under,1.0,0,
30,人火葬,over,,7,5.0
30,運送,over,,3,2.0
30,清掃,over,,3,2.0
30,売店,over,,3,2.0
30,火影,over,,2,1.0
