staff,type,start_day,works,max
統括A,over_7days,1,7,5
統括A,over_7days,2,7,5
統括A,over_7days,3,6,5
統括A,over_7days,4,6,5
統括A,over_7days,5,6,5
統括A,over_7days,6,6,5
統括A,over_7days,10,6,5
統括A,over_7days,11,6,5
統括A,over_7days,14,6,5
統括A,over_7days,15,6,5
統括A,over_7days,16,6,5
統括A,over_7days,17,6,5
統括A,over_7days,18,6,5
統括A,over_7days,19,7,5
統括A,over_7days,20,7,5
統括A,over_7days,21,7,5
統括A,over_7days,22,7,5
統括A,over_7days,23,7,5
統括A,over_7days,24,7,5
統括A,over_consecutive,1,8,7
統括A,over_consecutive,19,8,7
統括A,over_consecutive,20,8,7
統括A,over_consecutive,21,8,7
統括A,over_consecutive,22,8,7
統括A,over_consecutive,23,8,7
副統括A,over_7days,1,7,5
副統括A,over_7days,2,7,5
副統括A,over_7days,3,7,5
副統括A,over_7days,4,7,5
副統括A,over_7days,5,7,5
副統括A,over_7days,6,7,5
副統括A,over_7days,7,7,5
副統括A,over_7days,8,7,5
副統括A,over_7days,9,7,5
副統括A,over_7days,10,7,5
副統括A,over_7days,11,7,5
副統括A,over_7days,12,7,5
副統括A,over_7days,13,7,5
副統括A,over_7days,14,7,5
副統括A,over_7days,15,7,5
副統括A,over_7days,16,7,5
副統括A,over_7days,17,7,5
副統括A,over_7days,18,7,5
副統括A,over_7days,19,7,5
副統括A,over_7days,20,7,5
副統括A,over_7days,21,7,5
副統括A,over_7days,22,7,5
副統括A,over_7days,23,7,5
副統括A,over_7days,24,7,5
副統括A,over_consecutive,1,8,7
副統括A,over_consecutive,2,8,7
副統括A,over_consecutive,3,8,7
副統括A,over_consecutive,4,8,7
副統括A,over_consecutive,5,8,7
副統括A,over_consecutive,6,8,7
副統括A,over_consecutive,7,8,7
副統括A,over_consecutive,8,8,7
副統括A,over_consecutive,9,8,7
副統括A,over_consecutive,10,8,7
副統括A,over_consecutive,11,8,7
副統括A,over_consecutive,12,8,7
副統括A,over_consecutive,13,8,7
副統括A,over_consecutive,14,8,7
副統括A,over_consecutive,15,8,7
副統括A,over_consecutive,16,8,7
副統括A,over_consecutive,17,8,7
副統括A,over_consecutive,18,8,7
副統括A,over_consecutive,19,8,7
副統括A,over_consecutive,20,8,7
副統括A,over_consecutive,21,8,7
副統括A,over_consecutive,22,8,7
副統括A,over_consecutive,23,8,7
火葬員A,over_7days,6,6,5
火葬員A,over_7days,7,6,5
火葬員A,over_7days,8,7,5
火葬員A,over_7days,9,7,5
火葬員A,over_7days,10,7,5
火葬員A,over_7days,11,7,5
火葬員A,over_7days,12,7,5
火葬員A,over_7days,13,6,5
火葬員A,over_7days,14,6,5
火葬員A,over_consecutive,8,8,7
火葬員A,over_consecutive,9,8,7
火葬員A,over_consecutive,10,8,7
火葬員A,over_consecutive,11,8,7
火葬員B,over_7days,23,6,5
火葬員C,over_7days,1,6,5
火葬員C,over_7days,7,6,5
火葬員C,over_7days,8,6,5
火葬員C,over_7days,9,7,5
火葬員C,over_7days,10,6,5
火葬員C,over_7days,11,6,5
火葬員C,over_7days,12,6,5
火葬員C,over_7days,13,6,5
火葬員D,over_7days,1,6,5
火葬員E,over_7days,17,6,5
火葬員E,over_7days,18,7,5
火葬員E,over_7days,19,6,5
火葬員E,over_7days,20,6,5
火葬員E,over_7days,21,6,5
火葬員F,over_7days,10,6,5
火葬員F,over_7days,11,6,5
火葬員F,over_7days,12,7,5
火葬員F,over_7days,13,7,5
火葬員F,over_7days,14,7,5
火葬員F,over_7days,15,7,5
火葬員F,over_7days,16,7,5
火葬員F,over_7days,17,7,5
火葬員F,over_7days,18,7,5
火葬員F,over_7days,19,6,5
火葬員F,over_7days,20,6,5
火葬員F,over_7days,21,6,5
火葬員F,over_7days,22,6,5
火葬員F,over_7days,23,6,5
火葬員F,over_7days,24,6,5
火葬員F,over_consecutive,12,8,7
火葬員F,over_consecutive,13,8,7
火葬員F,over_consecutive,14,8,7
火葬員F,over_consecutive,15,8,7
火葬員F,over_consecutive,16,8,7
火葬員F,over_consecutive,17,8,7
清掃員B,over_7days,3,6,5
清掃員B,over_7days,5,6,5
清掃員B,over_7days,6,6,5
清掃員B,over_7days,7,6,5
清掃員B,over_7days,8,6,5
清掃員B,over_7days,9,6,5
清掃員B,over_7days,11,6,5
清掃員B,over_7days,12,6,5
