day,total_working,employee_count,part_timer_count,dummy_count,job_責任者,job_事務,job_囲炉裏,job_人火葬,job_動物火葬,job_運送,job_清掃,job_売店,job_火影
1,17,7,3,7,0,0,0,0,0,0,0,0,0
2,17,1,7,9,0,0,0,0,0,0,0,0,0
3,17,4,5,8,0,0,0,0,0,0,0,0,0
4,17,6,5,6,0,0,0,0,0,0,0,0,0
5,16,6,5,5,0,0,0,0,0,0,0,0,0
6,17,3,5,9,0,0,0,0,0,0,0,0,0
7,17,2,6,9,0,0,0,0,0,0,0,0,0
8,17,4,6,7,0,0,0,0,0,0,0,0,0
9,17,4,5,8,0,0,0,0,0,0,0,0,0
10,17,6,4,7,0,0,0,0,0,0,0,0,0
11,16,4,5,7,0,0,0,0,0,0,0,0,0
12,17,2,7,8,0,0,0,0,0,0,0,0,0
13,17,10,3,4,0,0,0,0,0,0,0,0,0
14,17,5,6,6,0,0,0,0,0,0,0,0,0
15,17,4,7,6,0,0,0,0,0,0,0,0,0
16,17,2,6,9,0,0,0,0,0,0,0,0,0
17,16,7,3,6,0,0,0,0,0,0,0,0,0
18,17,6,6,5,0,0,0,0,0,0,0,0,0
19,17,7,6,4,0,0,0,0,0,0,0,0,0
20,17,5,6,6,0,0,0,0,0,0,0,0,0
21,17,7,6,4,0,0,0,0,0,0,0,0,0
22,17,6,6,5,0,0,0,0,0,0,0,0,0
23,16,8,5,3,0,0,0,0,0,0,0,0,0
24,17,4,6,7,0,0,0,0,0,0,0,0,0
25,17,8,4,5,0,0,0,0,0,0,0,0,0
26,17,7,6,4,0,0,0,0,0,0,0,0,0
27,17,7,7,3,0,0,0,0,0,0,0,0,0
28,16,3,4,9,0,0,0,0,0,0,0,0,0
29,17,3,7,7,0,0,0,0,0,0,0,0,0
30,17,5,6,6,0,0,0,0,0,0,0,0,0
31,17,4,7,6,0,0,0,0,0,0,0,0,0
