day,work,type,min_req,assigned,max_req
1,事務,under,1.0,0,
1,人火葬,under,5.0,4,
2,事務,over,,3,2.0
2,清掃,over,,3,2.0
3,売店,over,,3,2.0
4,人火葬,under,6.0,4,
4,動物火葬,over,,3,2.0
4,清掃,under,2.0,1,
5,責任者,over,,2,1.0
5,囲炉裏,over,,2,1.0
5,人火葬,under,6.0,5,
5,動物火葬,over,,3,2.0
5,清掃,over,,4,2.0
5,売店,over,,3,2.0
6,事務,under,1.0,0,
6,清掃,under,2.0,1,
7,事務,over,,3,2.0
7,人火葬,over,,6,5.0
7,動物火葬,over,,5,2.0
7,売店,over,,3,2.0
8,囲炉裏,over,,2,1.0
8,人火葬,under,6.0,5,
8,動物火葬,under,1.0,0,
8,清掃,over,,3,2.0
8,売店,over,,3,2.0
9,囲炉裏,over,,2,1.0
9,人火葬,over,,8,7.0
9,動物火葬,under,1.0,0,
10,人火葬,under,6.0,5,
10,動物火葬,over,,4,2.0
10,売店,over,,3,2.0
11,動物火葬,under,1.0,0,
11,清掃,over,,4,2.0
13,責任者,over,,2,1.0
13,運送,over,,3,2.0
14,事務,under,1.0,0,
14,囲炉裏,under,1.0,0,
14,清掃,under,2.0,1,
14,売店,over,,3,2.0
15,責任者,over,,2,1.0
15,人火葬,under,6.0,4,
15,動物火葬,over,,4,2.0
15,運送,over,,3,2.0
16,事務,under,1.0,0,
16,清掃,under,2.0,1,
17,責任者,under,1.0,0,
17,人火葬,under,5.0,3,
17,売店,over,,3,2.0
18,責任者,over,,2,1.0
18,人火葬,under,6.0,5,
18,運送,over,,3,2.0
18,清掃,over,,3,2.0
18,売店,over,,3,2.0
19,責任者,over,,2,1.0
19,事務,under,1.0,0,
19,動物火葬,under,1.0,0,
19,清掃,under,2.0,1,
20,責任者,under,1.0,0,
20,事務,over,,3,2.0
20,人火葬,over,,9,7.0
20,動物火葬,under,1.0,0,
20,運送,over,,3,2.0
20,売店,over,,3,2.0
21,人火葬,over,,8,7.0
21,運送,under,2.0,1,
22,囲炉裏,over,,2,1.0
22,人火葬,under,6.0,2,
22,売店,over,,3,2.0
23,責任者,over,,2,1.0
23,事務,under,1.0,0,
23,人火葬,over,,8,5.0
23,運送,over,,3,2.0
23,清掃,over,,3,2.0
23,売店,under,2.0,1,
24,事務,under,1.0,0,
24,人火葬,over,,8,7.0
24,売店,under,2.0,1,
25,事務,over,,3,2.0
25,運送,under,2.0,1,
25,売店,over,,3,2.0
26,事務,over,,3,2.0
26,人火葬,under,6.0,5,
26,運送,over,,3,2.0
27,囲炉裏,under,1.0,0,
27,人火葬,under,6.0,3,
27,動物火葬,over,,4,2.0
28,人火葬,under,6.0,5,
28,動物火葬,over,,3,2.0
28,清掃,over,,3,2.0
29,運送,over,,3,2.0
29,売店,over,,3,2.0
30,人火葬,over,,8,7.0
31,囲炉裏,over,,2,1.0
31,清掃,over,,3,2.0
31,売店,over,,3,2.0
