staff,type,start_day,works,max,min
統括A,over_7days,4.0,6,5.0,
統括A,over_7days,5.0,7,5.0,
統括A,over_7days,6.0,7,5.0,
統括A,over_7days,7.0,7,5.0,
統括A,over_7days,8.0,7,5.0,
統括A,over_7days,9.0,7,5.0,
統括A,over_7days,10.0,7,5.0,
統括A,over_7days,11.0,6,5.0,
統括A,over_7days,12.0,6,5.0,
統括A,over_7days,13.0,6,5.0,
統括A,over_7days,18.0,6,5.0,
統括A,over_7days,19.0,6,5.0,
統括A,over_7days,20.0,6,5.0,
統括A,over_7days,21.0,6,5.0,
統括A,over_7days,22.0,6,5.0,
統括A,over_7days,23.0,6,5.0,
統括A,over_consecutive,5.0,8,7.0,
統括A,over_consecutive,6.0,8,7.0,
統括A,over_consecutive,7.0,8,7.0,
統括A,over_consecutive,8.0,8,7.0,
統括A,over_consecutive,9.0,8,7.0,
副統括A,over_7days,15.0,6,5.0,
副統括A,over_7days,16.0,6,5.0,
副統括A,over_7days,17.0,7,5.0,
副統括A,over_7days,18.0,6,5.0,
副統括A,over_7days,19.0,6,5.0,
副統括A,over_7days,20.0,6,5.0,
副統括A,over_7days,21.0,6,5.0,
副統括A,under_min_month,,19,,20.0
事務員A,under_min_month,,13,,20.0
事務員B,over_7days,2.0,6,5.0,
事務員B,over_7days,25.0,6,5.0,
事務員B,under_min_month,,17,,20.0
火葬業務統括A,under_min_month,,14,,20.0
火葬員A,over_7days,20.0,6,5.0,
火葬員A,under_min_month,,15,,20.0
火葬員B,under_min_month,,16,,20.0
火葬員C,under_min_month,,16,,20.0
火葬員D,over_7days,23.0,6,5.0,
火葬員D,under_min_month,,15,,20.0
火葬員E,over_7days,3.0,6,5.0,
火葬員E,over_7days,4.0,7,5.0,
火葬員E,over_7days,5.0,7,5.0,
火葬員E,over_7days,6.0,7,5.0,
火葬員E,over_7days,7.0,6,5.0,
火葬員E,over_consecutive,4.0,8,7.0,
火葬員E,over_consecutive,5.0,8,7.0,
火葬員E,under_min_month,,19,,20.0
火葬員F,over_7days,15.0,6,5.0,
火葬員F,over_7days,16.0,6,5.0,
火葬員F,over_7days,17.0,6,5.0,
火葬員F,over_7days,18.0,6,5.0,
火葬員F,over_7days,19.0,6,5.0,
火葬員F,under_min_month,,19,,20.0
清掃員A,under_min_month,,15,,20.0
清掃員B,over_7days,17.0,6,5.0,
清掃員B,over_7days,18.0,6,5.0,
清掃員B,over_7days,19.0,6,5.0,
清掃員B,over_7days,20.0,6,5.0,
清掃員B,over_7days,21.0,6,5.0,
清掃員B,under_min_month,,17,,20.0
清掃員C,over_7days,7.0,6,5.0,
清掃員C,under_min_month,,17,,20.0
清掃員D,over_7days,8.0,6,5.0,
清掃員D,under_min_month,,18,,20.0
売店従業員A,over_7days,14.0,6,5.0,
売店従業員A,over_7days,15.0,6,5.0,
売店従業員A,over_7days,16.0,6,5.0,
売店従業員A,over_7days,17.0,6,5.0,
売店従業員A,over_7days,24.0,6,5.0,
売店従業員A,over_7days,25.0,7,5.0,
売店従業員B,over_7days,1.0,6,5.0,
売店従業員B,over_7days,2.0,6,5.0,
売店従業員B,over_7days,3.0,6,5.0,
売店従業員B,over_7days,4.0,6,5.0,
売店従業員B,over_7days,5.0,7,5.0,
売店従業員B,over_7days,6.0,6,5.0,
売店従業員B,over_7days,7.0,6,5.0,
売店従業員B,over_7days,8.0,6,5.0,
売店従業員C,over_7days,1.0,6,5.0,
売店従業員C,over_7days,2.0,7,5.0,
売店従業員C,over_7days,3.0,7,5.0,
売店従業員C,over_7days,4.0,7,5.0,
売店従業員C,over_7days,5.0,6,5.0,
売店従業員C,over_7days,6.0,6,5.0,
売店従業員C,over_7days,7.0,6,5.0,
