day,total_working,employee_count,part_timer_count,dummy_count,job_責任者,job_事務,job_囲炉裏,job_人火葬,job_動物火葬,job_運送,job_清掃,job_売店
1,13,9,4,0,1,0,1,4,1,2,2,2
2,20,15,5,0,1,3,1,6,2,2,3,2
3,18,13,5,0,1,2,1,6,1,2,2,3
4,15,13,2,0,1,1,1,4,3,2,1,2
5,23,19,4,0,2,2,2,5,3,2,4,3
6,15,11,4,0,1,0,1,6,2,2,1,2
7,23,16,7,0,1,3,1,6,5,2,2,3
8,17,15,2,0,1,1,2,5,0,2,3,3
9,18,13,5,0,1,1,2,8,0,2,2,2
10,19,15,4,0,1,1,1,5,4,2,2,3
11,18,15,3,0,1,2,1,6,0,2,4,2
12,18,14,4,0,1,2,1,6,2,2,2,2
13,19,13,6,0,2,1,1,7,1,3,2,2
14,14,9,5,0,1,0,0,6,1,2,1,3
15,19,14,5,0,2,1,1,4,4,3,2,2
16,16,10,6,0,1,0,1,7,2,2,1,2
17,14,12,2,0,0,2,1,3,1,2,2,3
18,19,15,4,0,2,1,1,5,1,3,3,3
19,15,11,4,0,2,0,1,7,0,2,1,2
20,21,16,5,0,0,3,1,9,0,3,2,3
21,18,11,7,0,1,1,1,8,2,1,2,2
22,15,14,1,0,1,1,2,2,2,2,2,3
23,20,14,6,0,2,0,1,8,2,3,3,1
24,17,11,6,0,1,0,1,8,2,2,2,1
25,20,16,4,0,1,3,1,7,2,1,2,3
26,19,14,5,0,1,3,1,5,2,3,2,2
27,15,11,4,0,1,1,0,3,4,2,2,2
28,18,13,5,0,1,1,1,5,3,2,3,2
29,17,14,3,0,1,1,1,5,1,3,2,3
30,18,12,6,0,1,1,1,8,1,2,2,2
31,21,17,4,0,1,1,2,7,2,2,3,3
