,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
統括A,責,責,,責,,責,責,,,,,,,,,,,,,,,,,,,,,,,
副統括A,,,,,責,,事,,,,,,,責,,,,責,,,,,,,事,,,,,
副統括B,,,,,,,,,,,,,,,,,,,,,,,,責,責,責,責,責,,
火葬員A,,,,,人,,,,,,,,,,,,,,,,,,,人,人,人,人,,,
火葬員B,,,,,人,,,,,,人,,,人,,,,,,,,,,,動,,,,,人
火葬員C,人,,,人,,,人,,,,,,,,,,,,,,,,,動,,動,,,,
火葬員D,,人,,,人,人,人,,,,,,,,,,人,,,,,,,,,,,,,
火葬員E,,,,人,人,人,動,,,人,,,,,,,,,,,,,,,,,,,,
火葬員F,,,,動,動,,,,,,,,,,,,,,,,,,,人,人,人,,,,
火葬員G,,,,人,,,,,,,,,,,,,,,,,,,,人,人,人,人,,,
火葬員H,,,人,,,,人,,,,,人,人,,,,人,,,,,,,,,,,,,
火葬員I,,,人,,,人,,,,,,,,人,人,,人,,,,,,,,,,,,,
事務員A,,,,,事,事,,,,事,,,,事,,,,,,,,,,,,,,,,事
事務員B,,,,,,,,,,,事,,,,事,,,,,,,事,,,,,事,,事,
事務員C,,,,,,,,事,,,,,事,,,事,,,,事,,,,事,,,,,,
清掃員A,,,,清,,,,,,,,,清,,,,,,,,,,清,,清,,清,,,
清掃員B,,,,清,清,,,,,,,,清,,,,,,,,,,清,,,清,,,,
清掃員C,,,,,,清,,清,,清,清,,,,,,,清,,,,,,,,,,,,
清掃員D,,,,,,,,,,,清,,,,,清,,,,,,,,,清,,,,清,清
清掃員E,,,,,清,,,,,,,,,,,清,清,,,,,,,,,,,,清,清
清掃員F,,清,,,,,清,,,清,,,,,,,清,,,,,,,,,清,,,,
清掃員G,,,,,,清,,清,,,,,,,,,,清,,,,清,,,,,清,,,
売店従業員A,,,,,,,,,,,,,,売,,,,,,,売,売,売,,,,,,,
売店従業員B,,,,,,,,売,,売,,,,,,,,,,,,,,,,,,,売,売
売店従業員C,,,,,,,,,,,,売,,,売,,,,売,,,,,,,,,売,,
売店従業員D,,,,売,,売,売,,,,,,,,,,,,,,,,,,売,,売,,,
売店従業員E,,,,,売,,,,売,,売,,,,,,売,,,売,,,,,,,,,,
売店従業員F,,,,,,,,,,,,,売,,,売,,,,,,,,売,,売,,,,
売店従業員G,売,売,売,,,,,,,,,,,,,,,売,,,,,,,,,,,,
霊柩運送員A,,運,,,,,運,,,,,,運,,,,,,,,,,,,,,,運,,運
霊柩運送員B,,,,運,,,運,,,,,運,,,,運,,,,,,,,,,運,,,,
霊柩運送員C,,,,,,,,,,,,,,,,,運,,,,,,,運,運,運,,,,運
霊柩運送員D,,,,,運,,,,,,運,,運,,,,,,,,,,,,,,運,運,,
霊柩運送員E,,,,,,運,,,,,,運,,,,,,運,,,,,運,運,,,,,,
霊柩運送員F,,,,,,,,,,,,,,,,運,運,運,,,運,,,,,,運,,,
霊柩運送員G,,,,,運,運,,,,,,,,,運,,,,,,,,運,,運,,,,,
火葬業務統括A,,,,,囲,囲,,,,囲,,,,,囲,,,,,,,,,,,囲,,,,
葬副統括A,,,,,,,囲,,,,,,,囲,,,,,,,,,,囲,囲,,囲,,,
パート長A,動,動,人,,,,,,,,,人,,,,,,人,,人,人,,,,,,,,人,人
パート長B,,,,,,,人,,,,,,人,,人,,,,,,,人,人,,,,,人,動,
パート長C,人,,,,,,,人,人,,,人,人,,,,,,,動,,動,,,,,,,人,
パート長D,,人,,,,,,,人,人,,,,,人,,人,動,,,,,,,,,,,,人
パート長E,,,,,,,,,,,人,,人,動,人,,,,,,,,,,人,,動,,人,
パート長F,,,,,,,,,,,,人,動,,,動,,,人,人,,,人,,,,,動,,
パート長G,人,人,人,,,,,,,,,,,,,,動,人,人,,,人,,,,,,,,
パート短A,,人,,,,,,,,,動,,,人,,人,,,,,人,人,,,,,,人,,
パート短B,人,,動,人,,,,,,人,,,,人,,,,人,,,動,,動,,,,人,,,
パート短C,,,,,,,,動,人,,,動,,,,人,,,,,人,,人,,,,,人,,
パート短D,,,,,,動,,人,人,,,,,,,,,,人,人,,,人,,,,,,,動
パート短E,,,,,,人,,,,動,人,,,,,人,,人,人,,,,,,,人,人,,,
パート短F,,,,,,,,人,動,人,,,,,動,,,,,人,人,,,,,,,人,,
パート短G,,,,,,,,人,,,人,,,,,人,,,動,,,人,,人,,,,,人,人
N1,事,囲,事,運,,,清,,清,,,,,運,,,責,,事,,清,,囲,清,,事,,,,
N2,清,運,囲,事,,,,,運,運,,,,,,,,事,清,,事,,,,,,,事,,
N3,運,,運,囲,,,,運,事,,,,,,,,,,,,,,,清,,,,,,
N4,清,,,,,,,運,,,,清,,,,,,,運,運,責,,事,,,,,,,
N5,,,,,,,,,,,,,,,運,囲,,,責,,,,,,,,,,,
N6,,,清,,,,,,,,,事,,運,,,,,,,,,,,,,,,,
N7,,,,,,,,,,,,,,,,,囲,,清,責,,清,責,,,,,,,
N8,,,,,,,,責,,,,,,,,,,,,運,,,,,,,,,囲,
N9,,,,,,,,,,,運,,,,,,,,囲,,,運,,,,,,清,,
N10,運,,,,,,,,,運,,,,,,,,,,,,責,,,,,,,責,
N11,,,,,,,,,,,責,,,清,清,,,,,,清,囲,,,,,,,,
N12,,,,,,,,,,,,囲,囲,,,,,,,清,,,,,,,,,,
N13,,,,,,,,囲,,,,,,,,,,,,囲,,,,,,,,,運,
N14,,,清,,,,,,,,,,責,,清,,事,,,,運,,,,,,,,,
N15,,,,,,,,,清,,囲,,,,,,,,,清,,,,,,,,,,囲
N16,囲,事,運,,,,,,責,,,,,清,責,,,囲,,,囲,,,,,,,,,
N17,,,,,,,,,囲,責,,,,,,,,,,,,,,,,,,囲,,
N18,,清,,,,,,,運,,,清,,,,,,,,,,,,,,,,,,
N19,,,責,,,,,,,,,,,,,責,,,,,,運,,,,,,清,運,責
N20,,,,,,,,,,,,責,,,,,,,運,,,,,,,,,,,
