,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
統括A,,,責,責,責,責,,責,,,,,,,,,,,,,,,,,,,,,
副統括A,,,,,,,,,,,,,,,,,,,,,,事,事,,事,事,,,事
副統括B,,,,,事,,,,,,,,,,事,事,,,,,,,,,,,,事,責
火葬員A,動,,,人,,,,人,人,,,,,,,,,,,人,,,,,,,,,
火葬員B,人,動,動,,,,動,,,,,動,,,,,,,,,,,,,,,,,
火葬員C,,,人,人,,,人,,,,,,,,人,人,,,,,,,,,,,,,
火葬員D,,,,,人,,人,,,,,,,人,,,,,,,,,,人,,動,,,
火葬員E,,,,,,人,,,,,,,,,人,,,,,人,,,人,,人,,,,
火葬員F,,,,,,人,,人,,,人,,人,人,,,,,,,,,,,,,,,
火葬員G,,,,,,,人,,,,,,人,,,人,,,,人,,,,,,,,,人
火葬員H,,,,人,人,人,,人,,,,,人,,,,,,,,,,,,,,,,
火葬員I,,,,人,,人,,,,,,,,,,,人,,,人,,,,,人,,,,
事務員A,,,,,,事,,,,,,,,,,,事,,事,,,,,事,,,事,,
事務員B,事,,,,,,,,,事,事,,,,,,,,,事,事,,,,,,,,
事務員C,,,,事,,,事,,事,,,事,事,,,,,,,,,,,,,,,,
清掃員A,,,清,,,,清,,,,,清,,,清,,,,,,,,,,,,,,清
清掃員B,清,,,,,,,,,清,,,,,清,清,,,,,,,,清,,,,,
清掃員C,,,,清,清,,,,,,,,清,,,,,清,,,,,,,,,清,,
清掃員D,,,清,,,清,清,清,,,,,,,,,清,,,,,,,,,,,,
清掃員E,,,,,清,,,清,,,,,,清,,清,清,,,,,,,,,,,,
清掃員F,,,,,,,,,,,清,,,清,,,,,,,清,,,,,清,,清,
清掃員G,,,,清,,,,,,,,,清,,,,,清,,,,清,,,,,清,,
売店従業員A,売,,,売,,,,売,,,,,,,,,,,,,,,,,売,,,,
売店従業員B,,,,,,,売,,,売,売,,,,,,,,売,,,,,,,,,,
売店従業員C,,,,,,売,,,,,,,売,,,,,,,売,,売,,,,,,,
売店従業員D,,売,,,,,,,,,,売,,,売,売,,,,,,,,,,,,,
売店従業員E,,,,,,,,,売,,,,,,,,,,,,,,売,売,,,,,売
売店従業員F,,,,,,,,,,,,,,売,,,,売,,,売,,,,,売,売,,
売店従業員G,,,売,,売,,,,,,,,,,,,売,,,,,,,,,,,売,
霊柩運送員A,運,,,運,,,,,,,,,,,,,,,運,,,運,,,,運,,,
霊柩運送員B,,,,,運,,,,運,,運,,,,,,運,,,,,運,,,,,,,
霊柩運送員C,,,,,,,運,,,,,,運,,,,運,,,,,,運,,運,,,,
霊柩運送員D,,運,,,,,,,,,運,運,運,運,,,,,,,,,,,,,,,
霊柩運送員E,,,,,運,,,,,,,,,,運,運,,,,,,,,,,,運,運,
霊柩運送員F,運,運,,運,,運,,,,,,,,,,,,,運,,,,,,,,,,
霊柩運送員G,,,,,,,,,運,,,,,運,運,,,,,,,,運,,運,,,,
火葬業務統括A,,囲,,,,囲,,,囲,,,,,,,,,,,,,,,囲,,,,囲,
葬副統括A,,,,,囲,,,,,,囲,囲,,,,囲,,,囲,,,,,,,,,,
パート長A,,,,,,,,人,,動,,,,,,動,,,,,動,,,人,人,人,,,
パート長B,,人,人,動,人,動,,,,,,,,,,,,人,人,,,,,,動,人,,,
パート長C,,人,人,,,,,,,人,,人,動,,,,,,人,,,人,人,人,,,,,
パート長D,,,,,動,,,,,人,,,,,,,人,人,,,人,人,動,動,,,,,人
パート長E,,,,,,,,,,,動,,人,,,人,,,,,,,,,人,人,,,人
パート長F,,,,,,,,,,人,,人,,,,,動,,人,,人,動,人,人,,,,人,
パート長G,人,,,,人,,人,,,,,人,,,,人,,人,,動,,,人,,,,,人,
パート短A,人,,,,,,,,人,,,人,,人,,,,,人,,,,,,,,,人,
パート短B,,,,,,,,,人,,,,,,,,人,,,,人,人,,,,人,人,,
パート短C,,人,,,,,,,人,,人,,,,,,,人,,,,,,,,,人,,動
パート短D,,,,,,,,,動,,人,,,動,,,,,,,,人,,,,,人,動,
パート短E,,人,人,,,,,動,,,,,,,動,,人,,,,,,,,,,動,,
パート短F,,,,,,,,,,人,,,,人,人,,,,動,,,,,,,,,人,人
パート短G,人,,,,,,,,,,人,,,,人,,,動,,,人,,,,,,人,,
N1,,,,,,清,,,,,責,,,,囲,,,運,,,,,,運,,,,,
N2,,責,,,,,,囲,,,,清,,,,,,,,運,,,,,囲,,,,清
N3,,,事,,,,,,,,,,責,,,責,責,囲,,,,,,,,,,,
N4,,,運,,,,責,,責,,,運,,,,,,,清,,,囲,,,,,,,
N5,囲,,,,,,,,,,,,,,,,,,,清,囲,,囲,,責,運,,,
N6,,清,運,,,,囲,,,責,,,,囲,,,,事,,,,,,,,,,,
N7,,,,,,,,,,囲,,,,,,,,責,清,清,,,,,,,,,
N8,,事,,,,,,,,清,,,,,,,,,,,,,,,清,,,,
N9,,,,,,,,,,,,,,責,,,,運,,,,,,,,囲,,,
N10,,,,,,,,,,,,,,事,,,,,,,運,,,,,責,,,
N11,,,,,,,,,,,,,,,,,,,責,運,,,,責,,,責,清,
N12,,,,,,,運,運,,,,責,,,,,,,,,運,,,清,,清,,運,
N13,,,,,,,,,,運,,,,,責,,,,,,,,,,,,運,,
N14,,,,,,,,,清,,,,,,,,,,,,責,,,運,清,,,,囲
N15,,,,,,,,,,,清,,,,,運,,,,責,清,清,責,,,,,,
N16,,,,,,,,運,,,,,囲,,,,,,,,,,清,,,,,,
N17,,,囲,,,,,事,,,,,,,,,,,,,,,,,,,,,運
N18,,,,,,,,,清,,,,,,,,,,,,,責,,,,,,,
N19,清,清,,囲,,,,,,運,,,,,,,囲,,,,,,,,,,囲,責,運
N20,責,,,,,運,,,,,,,,,,,,,,囲,,,清,,,,,,
