,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
統括A,責,責,責,責,,,,,,,,,,,,,,,,,,,責,,,,,,,,
副統括A,,,,,,,,,事,,,,事,,,,,,,責,,事,,,,事,,,,,
副統括B,,,,事,,,,,,,,,,責,,,,,,,,,,,,,事,,,事,事
火葬員A,,,人,,,,,,,,,,,,,,,人,,人,人,,,,,,,,動,,
火葬員B,人,人,,,,,,,,,,,,,,,,,,,,,,,人,人,,,,,人
火葬員C,,,動,人,,動,,,,,,,,,,,,,,,,動,,,,,,人,,,
火葬員D,,,,,,,,動,,動,人,人,動,,,,,,,,,,,,,,,,,,
火葬員E,,,,,,,動,,,,,,,,,,,,,,,,人,,人,人,,,,,人
火葬員F,,,,,,,,,,,,,,,人,人,人,,,,,,,,人,動,,,,,
火葬員G,人,,,,,,,,,,,,,,人,,,人,,人,人,,,,,,,,,,
火葬員H,,,,人,,,,,,,,人,,,,,,,,,,,,,,人,動,人,,,
火葬員I,人,人,,人,,,,,,,,,,,,,人,,,人,,,,,,,,,,,
事務員A,,,,,,,,,,,事,事,,,事,事,事,,,,,,,,,,,,,,
事務員B,,,,,,,,事,,,,,,,,,,,事,,事,,,事,,,,事,,,
事務員C,,,,,,事,事,,,事,,,,,,,,,,事,,,事,,,,,,,,
清掃員A,,,,,,清,,,清,,,清,,,,,,清,清,,,,,,,,,,,,
清掃員B,,,清,清,清,,,,,,,,清,,,,,,,,,,清,,,,,,,,
清掃員C,,清,清,,,,,,,清,,,,,,,,,,,,,,,,,,清,,,清
清掃員D,,,,,,清,,,,清,,清,,,,清,清,,,,,,,,,,,,,,
清掃員E,,,,,,,,清,,,,,,清,,,,,,,,,,,清,,清,,清,,
清掃員F,,,,,,,清,,清,,,,,,清,,,清,清,,,,,,,,,,,,
清掃員G,,,,清,,,清,,,,,,清,,清,,,,,,,,清,,,,,,,,
売店従業員A,,,,,,,,,売,,,売,,売,売,,,,,売,,,,,,,,,,,
売店従業員B,,,,売,売,,,,,,,,,,,,,,,,,,,,売,,売,,,,
売店従業員C,,,売,,,,,,,,,,,,,,売,,,,,売,,売,,,,,,売,
売店従業員D,,,,,,,売,,,,,,,,,売,,,,,,,売,,,,,売,,,
売店従業員E,売,売,,,,売,,売,,,,,,,,,,,,,,,,,,,,,,,
売店従業員F,,,,,,,,,,,,,売,,,,,売,,,,,,,,,,,売,,売
売店従業員G,,,,,,,,,,売,売,,,,,,,,売,,売,,,,,売,,,,,
霊柩運送員A,,,,,,,,,,,,,,,,運,運,運,,運,,運,,,,,,,,,
霊柩運送員B,,運,,,,,,運,運,,,,,,,,,,,,運,,,運,,,,,,,
霊柩運送員C,,,,,,,,,,,運,,運,,,運,,,,,,,,,,,運,,,運,
霊柩運送員D,,運,,,,運,,,,,,,,,,,運,運,,,運,,,,,,,,,,
霊柩運送員E,運,,,,,運,,,,,,,運,運,,,,,,,,運,,,,,,,,,
霊柩運送員F,,,,運,,,,,,運,,,,,,,,,,運,,,,,,運,,,,,運
