staff,total_workdays
統括A,5
副統括A,5
副統括B,5
火葬員A,5
火葬員B,5
火葬員C,5
火葬員D,5
火葬員E,5
火葬員F,5
火葬員G,5
火葬員H,5
火葬員I,5
事務員A,5
事務員B,5
事務員C,5
清掃員A,5
清掃員B,5
清掃員C,5
清掃員D,5
清掃員E,5
清掃員F,5
清掃員G,5
売店従業員A,4
売店従業員B,4
売店従業員C,4
売店従業員D,5
売店従業員E,5
売店従業員F,4
売店従業員G,4
霊柩運送員A,5
霊柩運送員B,5
霊柩運送員C,5
霊柩運送員D,5
霊柩運送員E,5
霊柩運送員F,5
霊柩運送員G,5
火葬業務統括A,5
葬副統括A,5
パート長A,9
パート長B,7
パート長C,8
パート長D,7
パート長E,7
パート長F,7
パート長G,7
パート短A,7
パート短B,9
パート短C,7
パート短D,7
パート短E,8
パート短F,7
パート短G,8
N1,13
N2,10
N3,6
N4,7
N5,3
N6,3
N7,5
N8,3
N9,4
N10,4
N11,5
N12,3
N13,3
N14,5
N15,4
N16,8
N17,3
N18,3
N19,6
N20,2
