day,work,type,max_req,assigned,min_req
1,責任者,over,1.0,2,
1,事務,under,,0,1.0
1,囲炉裏,under,,0,1.0
1,人火葬,under,,4,5.0
1,動物火葬,over,2.0,3,
1,運送,under,,1,2.0
1,清掃,over,2.0,3,
1,売店,over,2.0,3,
1,火影,over,1.0,2,
2,囲炉裏,under,,0,1.0
2,人火葬,over,7.0,8,
2,動物火葬,over,2.0,4,
2,運送,over,2.0,3,
2,清掃,over,2.0,3,
2,火影,over,1.0,5,
3,囲炉裏,under,,0,1.0
3,人火葬,under,,5,6.0
3,売店,over,2.0,3,
3,火影,over,1.0,2,
4,囲炉裏,under,,0,1.0
4,動物火葬,over,2.0,4,
4,清掃,over,2.0,4,
4,売店,over,2.0,3,
4,火影,over,1.0,2,
5,囲炉裏,under,,0,1.0
5,動物火葬,over,2.0,3,
5,運送,over,2.0,3,
5,売店,over,2.0,3,
5,火影,over,1.0,2,
6,責任者,over,1.0,2,
6,事務,under,,0,1.0
6,囲炉裏,under,,0,1.0
6,人火葬,under,,4,6.0
6,火影,over,1.0,4,
7,囲炉裏,under,,0,1.0
7,人火葬,over,7.0,10,
7,動物火葬,under,,0,1.0
7,清掃,over,2.0,4,
7,火影,over,1.0,2,
8,囲炉裏,under,,0,1.0
8,人火葬,under,,5,6.0
8,動物火葬,over,2.0,5,
8,運送,over,2.0,3,
8,清掃,over,2.0,3,
8,火影,over,1.0,4,
9,事務,under,,0,1.0
9,囲炉裏,under,,0,1.0
9,人火葬,under,,5,6.0
9,動物火葬,over,2.0,3,
9,清掃,over,2.0,3,
9,売店,over,2.0,3,
10,囲炉裏,under,,0,1.0
10,人火葬,over,7.0,8,
10,動物火葬,over,2.0,4,
10,運送,over,2.0,3,
10,清掃,under,,1,2.0
10,火影,over,1.0,2,
11,責任者,over,1.0,2,
11,事務,under,,0,1.0
11,囲炉裏,under,,0,1.0
11,人火葬,over,7.0,10,
11,動物火葬,over,2.0,3,
11,運送,under,,1,2.0
11,清掃,over,2.0,4,
11,火影,over,1.0,2,
12,事務,under,,0,1.0
12,囲炉裏,under,,0,1.0
12,動物火葬,over,2.0,4,
12,運送,over,2.0,3,
12,火影,over,1.0,2,
13,責任者,under,,0,1.0
13,囲炉裏,under,,0,1.0
13,運送,over,2.0,3,
13,売店,under,,1,2.0
13,火影,over,1.0,3,
14,責任者,over,1.0,2,
14,事務,under,,0,1.0
14,囲炉裏,under,,0,1.0
14,動物火葬,over,2.0,3,
14,火影,over,1.0,2,
15,囲炉裏,under,,0,1.0
15,人火葬,over,7.0,10,
15,清掃,over,2.0,4,
15,売店,over,2.0,3,
15,火影,over,1.0,2,
16,囲炉裏,under,,0,1.0
16,人火葬,under,,5,6.0
16,動物火葬,over,2.0,3,
16,運送,over,2.0,3,
16,売店,over,2.0,3,
16,火影,over,1.0,2,
17,責任者,over,1.0,2,
17,事務,under,,0,1.0
17,囲炉裏,under,,0,1.0
17,人火葬,under,,3,6.0
17,運送,over,2.0,3,
17,清掃,over,2.0,3,
17,火影,over,1.0,4,
18,事務,under,,0,1.0
18,囲炉裏,under,,0,1.0
18,人火葬,under,,4,5.0
18,運送,over,2.0,3,
18,清掃,over,2.0,3,
18,火影,over,1.0,3,
19,責任者,over,1.0,2,
19,事務,under,,0,1.0
19,囲炉裏,under,,0,1.0
19,人火葬,over,7.0,8,
19,動物火葬,over,2.0,3,
19,清掃,over,2.0,3,
19,売店,over,2.0,3,
19,火影,over,1.0,5,
20,事務,under,,0,1.0
20,囲炉裏,under,,0,1.0
20,運送,over,2.0,3,
20,清掃,over,2.0,4,
20,火影,over,1.0,2,
21,囲炉裏,under,,0,1.0
21,人火葬,over,7.0,8,
21,動物火葬,over,2.0,3,
21,運送,over,2.0,3,
21,火影,over,1.0,3,
22,囲炉裏,under,,0,1.0
22,人火葬,under,,5,6.0
22,動物火葬,over,2.0,6,
22,運送,over,2.0,3,
22,清掃,over,2.0,4,
22,売店,over,2.0,3,
23,囲炉裏,under,,0,1.0
23,動物火葬,over,2.0,4,
23,火影,over,1.0,4,
24,責任者,over,1.0,2,
24,事務,under,,0,1.0
24,囲炉裏,under,,0,1.0
24,動物火葬,over,2.0,4,
24,運送,over,2.0,3,
24,売店,over,2.0,3,
24,火影,over,1.0,3,
25,責任者,over,1.0,2,
25,事務,under,,0,1.0
25,囲炉裏,under,,0,1.0
25,動物火葬,over,2.0,4,
25,清掃,over,2.0,4,
25,売店,over,2.0,3,
25,火影,over,1.0,2,
26,囲炉裏,under,,0,1.0
26,人火葬,under,,5,6.0
26,動物火葬,over,2.0,3,
26,清掃,over,2.0,3,
26,火影,over,1.0,2,
27,囲炉裏,under,,0,1.0
27,動物火葬,over,2.0,6,
27,運送,over,2.0,3,
27,清掃,over,2.0,3,
27,火影,over,1.0,2,
28,囲炉裏,under,,0,1.0
28,動物火葬,over,2.0,4,
28,運送,over,2.0,3,
28,火影,over,1.0,2,
29,囲炉裏,under,,0,1.0
29,人火葬,under,,5,6.0
29,動物火葬,over,2.0,4,
29,清掃,over,2.0,3,
29,売店,over,2.0,3,
30,責任者,over,1.0,2,
30,事務,under,,0,1.0
30,囲炉裏,under,,0,1.0
30,人火葬,over,5.0,6,
30,動物火葬,over,2.0,5,
30,火影,over,1.0,2,
