day,total_working,employee_count,part_timer_count,dummy_count,job_責任者,job_事務,job_囲炉裏,job_人火葬,job_動物火葬,job_運送,job_清掃,job_売店,job_火影
1,18,14,4,0,2,0,0,4,3,1,3,3,2
2,27,20,7,0,1,1,0,8,4,3,3,2,5
3,18,14,4,0,1,1,0,5,2,2,2,3,2
4,24,18,6,0,1,1,0,7,4,2,4,3,2
5,21,17,4,0,1,1,0,6,3,3,2,3,2
6,18,14,4,0,2,0,0,4,2,2,2,2,4
7,22,17,5,0,1,1,0,10,0,2,4,2,2
8,24,19,5,0,1,1,0,5,5,3,3,2,4
9,18,14,4,0,1,0,0,5,3,2,3,3,1
10,22,15,7,0,1,1,0,8,4,3,1,2,2
11,24,16,8,0,2,0,0,10,3,1,4,2,2
12,19,13,6,0,1,0,0,5,4,3,2,2,2
13,18,15,3,0,0,1,0,6,2,3,2,1,3
14,20,14,6,0,2,0,0,7,3,2,2,2,2
15,25,19,6,0,1,1,0,10,2,2,4,3,2
16,20,15,5,0,1,1,0,5,3,3,2,3,2
17,19,14,5,0,2,0,0,3,2,3,3,2,4
18,18,15,3,0,1,0,0,4,2,3,3,2,3
19,26,20,6,0,2,0,0,8,3,2,3,3,5
20,21,17,4,0,1,0,0,7,2,3,4,2,2
21,23,17,6,0,1,1,0,8,3,3,2,2,3
22,24,17,7,0,1,1,0,5,6,3,4,3,1
23,23,17,6,0,1,1,0,7,4,2,2,2,4
24,22,16,6,0,2,0,0,5,4,3,2,3,3
25,24,18,6,0,2,0,0,7,4,2,4,3,2
26,19,15,4,0,1,1,0,5,3,2,3,2,2
27,24,17,7,0,1,1,0,6,6,3,3,2,2
28,22,16,6,0,1,1,0,7,4,3,2,2,2
29,20,16,4,0,1,1,0,5,4,2,3,3,1
30,21,16,5,0,2,0,0,6,5,2,2,2,2
