staff,total_workdays
統括A,9
副統括A,11
副統括B,15
火葬員A,7
火葬員B,9
火葬員C,6
火葬員D,6
火葬員E,6
火葬員F,9
火葬員G,7
火葬員H,6
火葬員I,4
清掃員A,5
清掃員B,12
清掃員C,6
清掃員D,5
清掃員E,12
清掃員F,10
清掃員G,10
売店従業員A,2
売店従業員B,2
売店従業員C,1
売店従業員D,5
売店従業員E,6
売店従業員F,2
売店従業員G,2
霊柩運送員A,8
霊柩運送員B,7
霊柩運送員C,13
霊柩運送員D,6
霊柩運送員E,9
霊柩運送員F,6
霊柩運送員G,11
火葬業務統括A,16
葬副統括A,14
事務員A,10
事務員B,8
事務員C,7
パート長A,7
パート長B,9
パート長C,6
パート長D,7
パート長E,4
パート長F,9
パート長G,5
パート短A,9
パート短B,5
パート短C,9
パート短D,8
パート短E,8
パート短F,8
パート短G,6
N1,0
N2,0
N3,0
N4,0
N5,0
N6,0
N7,0
N8,0
N9,0
N10,0
N11,0
N12,0
N13,0
N14,0
N15,0
N16,0
N17,0
N18,0
N19,0
N20,0
