day,total_working,employee_count,part_timer_count,dummy_count,job_責任者,job_事務,job_囲炉裏,job_人火葬,job_動物火葬,job_運送,job_清掃,job_売店
1,13,11,2,0,1,1,1,4,1,2,2,1
2,13,10,3,0,1,1,1,4,1,2,2,1
3,13,9,4,0,1,1,1,4,1,2,2,1
4,13,9,4,0,1,1,1,4,1,2,2,1
5,13,8,5,0,1,1,1,4,1,2,2,1
6,13,12,1,0,1,1,1,4,1,2,2,1
7,13,10,3,0,1,1,1,4,1,2,2,1
8,13,11,2,0,1,1,1,4,1,2,2,1
9,13,9,4,0,1,1,1,4,1,2,2,1
10,13,10,3,0,1,1,1,4,1,2,2,1
11,13,9,4,0,1,1,1,4,1,2,2,1
12,13,9,4,0,1,1,1,4,1,2,2,1
13,13,10,3,0,1,1,1,4,1,2,2,1
14,13,9,4,0,1,1,1,4,1,2,2,1
15,13,9,4,0,1,1,1,4,1,2,2,1
16,13,10,3,0,1,1,1,4,1,2,2,1
17,13,12,1,0,1,1,1,4,1,2,2,1
18,13,11,2,0,1,1,1,4,1,2,2,1
19,13,13,0,0,1,1,1,4,1,2,2,1
20,13,10,3,0,1,1,1,4,1,2,2,1
21,13,9,4,0,1,1,1,4,1,2,2,1
22,13,12,1,0,1,1,1,4,1,2,2,1
23,13,9,4,0,1,1,1,4,1,2,2,1
24,13,8,5,0,1,1,1,4,1,2,2,1
25,13,10,3,0,1,1,1,4,1,2,2,1
26,13,9,4,0,1,1,1,4,1,2,2,1
27,13,11,2,0,1,1,1,4,1,2,2,1
28,13,9,4,0,1,1,1,4,1,2,2,1
29,13,10,3,0,1,1,1,4,1,2,2,1
30,13,10,3,0,1,1,1,4,1,2,2,1
