,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
統括A,責,責,責,責,責,,,責,責,責,,責,,責,責,責,,責,責,,責,責,責,,責,責,,責,責,責
副統括A,事,事,事,事,事,,,事,事,事,事,,,事,事,事,事,事,,,事,事,事,事,,,責,事,事,事
火葬員A,人,人,,人,人,人,,人,人,,人,人,人,,人,人,,人,人,,人,人,人,,人,人,,人,人,人
火葬員B,人,人,,人,人,人,,人,人,,人,人,人,,人,人,,人,人,,人,人,人,,人,人,,人,人,人
火葬員C,人,人,,動,人,人,,人,人,,人,人,人,,動,人,,人,人,,人,人,人,,人,人,,人,人,人
火葬員D,人,人,,人,人,人,,人,人,,人,人,人,,人,人,,人,人,,人,人,人,,人,,動,人,人,人
火葬員E,人,動,,人,人,人,,動,人,,人,人,人,,人,人,,人,人,,人,人,人,,人,動,,動,人,人
火葬員F,人,人,,人,人,人,,人,人,,人,人,動,,人,人,,人,人,動,,人,人,,動,人,,人,人,人
清掃員A,,清,清,,,清,,清,,清,清,清,,,,,,清,,,清,清,,清,清,,清,清,清,
清掃員B,清,清,清,,清,,清,清,,,,清,清,清,清,清,,,清,清,清,清,,,清,清,清,清,清,
清掃員C,,,,清,,,清,,清,,,,清,,,清,清,清,,清,,,清,清,,清,,,,清
清掃員D,清,,,清,清,清,,,清,清,清,,,清,清,,清,,清,,,,清,,,,,,,清
売店従業員A,売,売,,売,売,,売,売,売,,売,売,,売,,売,売,売,,,売,,売,売,売,,売,売,,売
売店従業員B,,,売,売,売,売,売,,,売,,売,売,売,売,,,売,売,売,売,売,,,売,売,,売,売,売
売店従業員C,売,売,売,,,売,,売,売,売,売,,売,,売,売,売,,売,売,,売,売,売,,売,売,,売,
霊柩運送員A,運,運,,,運,運,運,運,運,,,,運,運,運,運,,,運,運,,運,運,運,,運,運,,運,
霊柩運送員B,,運,運,運,,,運,,運,運,運,運,,運,,運,運,運,,運,運,,運,運,運,,運,運,,運
霊柩運送員C,運,,運,運,運,運,,運,,運,運,運,運,,運,,運,運,運,,運,運,,,運,運,,運,運,運
剣士A,,,,,,,,,,,,,,,,,,火,,,,,,,,,,,,
剣士B,,,,,,,,,,,火,,,,,,,,,,,,,,,,,,,
剣士C,,,,火,,,,,,,,,,,,,,,,火,,,,,火,,火,,,
剣士D,,,,,,火,,,,,,,火,,,,,,,,,,,,,,,,,
海賊王A,火,火,火,,火,,火,火,火,火,,火,,火,火,火,火,,火,,火,火,火,火,,火,,火,火,火
パート長A,,,,,動,,動,,,,,,,動,,,動,,,人,,,,,,,人,,,
パート長B,,,人,,,,,,,動,動,,人,,,,人,,,人,,,,人,,,,,,
パート長C,,,人,,,,人,,,人,,,,人,,,人,,,,,,,人,,,人,,,
パート長D,,,人,,,,人,,,人,,,,人,,,人,動,,人,,,,動,,,,,,
パート短A,動,,人,,,,人,,,人,,,,人,,,人,,,人,,,,人,,,人,,,
パート短B,,,人,,,,人,,,人,,,,人,,,人,,,,人,,動,人,,,人,,動,
パート短C,,,人,人,,,人,,,人,,動,,,人,動,,,動,人,,動,,人,人,,人,人,,動
パート短D,,,動,,,動,人,,動,人,,,,人,,,人,,,,動,,,人,,人,人,,,
N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,,,,,,,,,,,,,事,,,,,,,,,,,,,,,,,
N4,,,,,,,,,,,,,囲,,,,,,,,,,,,,,,,,
N5,,,,,,,,,,,,囲,責,,,,責,,,責,,,,責,,,,,,
N6,,,,,,責,,,,,,事,,囲,囲,囲,囲,,囲,囲,囲,囲,囲,,事,囲,囲,,,
N7,囲,囲,囲,,,事,事,,,,囲,,,,,,,,事,,,,,,,,事,,囲,囲
N8,,,,,,囲,,,,,,,,,,,,,,事,,,,,囲,,,囲,,
N9,,,,,,,,,,,,,,,,,,,,,,,,,,事,,,,
N10,,,,,囲,,,,,囲,,,,,,,,,,,,,,,,,,,,
N11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N13,,,,,,,,,囲,,責,,,,,,,,,,,,,,,,,,,
N14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N16,,,,,,,,囲,,,,,,,,,,囲,,,,,,,,,,,,
N17,,,,囲,,,,,,,,,,,,,,,,,,,,,,,,,,
N18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N19,,,,,,,囲,,,,,,,,,,,,,,,,,,,,,,,
N20,,,,,,,責,,,,,,,,,,,,,,,,,囲,,,,,,
