day,total_working,employee_count,part_timer_count,dummy_count,job_責任者,job_事務,job_囲炉裏,job_人火葬,job_動物火葬,job_運送,job_清掃,job_売店,job_火影
1,17,15,1,1,0,0,0,0,0,0,0,0,0
2,16,15,0,1,0,0,0,0,0,0,0,0,0
3,17,15,1,1,0,0,0,0,0,0,0,0,0
4,17,15,1,1,0,0,0,0,0,0,0,0,0
5,17,14,1,2,0,0,0,0,0,0,0,0,0
6,17,7,7,3,0,0,0,0,0,0,0,0,0
7,17,8,7,2,0,0,0,0,0,0,0,0,0
8,16,15,0,1,0,0,0,0,0,0,0,0,0
9,17,15,1,1,0,0,0,0,0,0,0,0,0
10,17,15,1,1,0,0,0,0,0,0,0,0,0
11,17,14,1,2,0,0,0,0,0,0,0,0,0
12,17,15,1,1,0,0,0,0,0,0,0,0,0
13,17,7,7,3,0,0,0,0,0,0,0,0,0
14,16,8,6,2,0,0,0,0,0,0,0,0,0
15,17,15,1,1,0,0,0,0,0,0,0,0,0
16,17,15,1,1,0,0,0,0,0,0,0,0,0
17,17,15,1,1,0,0,0,0,0,0,0,0,0
18,17,14,1,2,0,0,0,0,0,0,0,0,0
19,17,8,7,2,0,0,0,0,0,0,0,0,0
20,16,14,0,2,0,0,0,0,0,0,0,0,0
21,17,8,7,2,0,0,0,0,0,0,0,0,0
22,17,15,1,1,0,0,0,0,0,0,0,0,0
23,17,15,1,1,0,0,0,0,0,0,0,0,0
24,17,15,1,1,0,0,0,0,0,0,0,0,0
25,17,8,6,3,0,0,0,0,0,0,0,0,0
26,17,13,2,2,0,0,0,0,0,0,0,0,0
27,17,10,6,1,0,0,0,0,0,0,0,0,0
28,17,13,2,2,0,0,0,0,0,0,0,0,0
29,17,15,1,1,0,0,0,0,0,0,0,0,0
30,17,15,1,1,0,0,0,0,0,0,0,0,0
31,16,15,0,1,0,0,0,0,0,0,0,0,0
